stage_index,run,task_id,status,start,end,metrics_available,train_global_step,episode_cnt,reward,total_loss,value_loss,policy_loss,entropy_loss,grad_norm,win_rate,win,kill,death,money_per_frame,hurt_to_hero,hurt_by_hero,self_tower_hp,enemy_tower_hp,final_hp_ratio,episode_len,rwd_tower_hp_point,rwd_hp_point,rwd_last_hit,rwd_tower_attack,rwd_recall_recover,action_button_9,action_button_9_rate
1,ppo-0-5,219702,manual_release,2026-06-18T03:01:24.756233Z,2026-06-18T07:42:15.709935Z,37,0.0,7012.0,-17.78142857142857,0.6855498552322388,0.02,0.96,-12.0,,0.2608695652173913,,0.0,0.08695652173913043,0.21130434782608692,0.02347826086956522,0.023043478260869565,2236.7391304347825,6079.782608695652,,,,,,,,,
2,ppo-0-11,220425,running,2026-06-18T17:08:06.565210Z,2026-06-19T02:35:58.000Z,301,21312.0,22962.0,59.0778125,-0.2970770597457886,1.31,-1.31,-11.69,11.0227,0.84375,0.71875,5.5625,1.03125,0.6328125,2.5934375,1.104375,8150.6875,747.6875,0.82621875,14479.25,0.5944375,8.45665625,6.6875,0.71875,,0.0,
3,ppo-0-12,220460,auto_release,2026-06-19T03:52:38.380882Z,2026-06-19T15:53:08.188231Z,494,49638.0,26579.0,18.985,1.0180867910385132,2.04,-1.78,-11.22,10.1256,0.765625,0.703125,3.15625,1.421875,0.5578125,2.109375,1.27578125,8200.90625,2157.84375,0.64375,9499.625,0.29259375,3.09690625,3.96875,3.25,,0.0,
4,ppo-1-1,220632,running,2026-06-19T17:14:42.587127Z,2026-06-20T02:37:10.000Z,497,70172.0,22428.0,24.890937499999996,-0.8221637010574341,2.23,-2.78,-10.67,23.4728,0.765625,0.671875,3.46875,1.328125,0.58296875,2.1023437499999997,1.3048437499999999,8201.890625,2522.1875,0.84321875,11174.5625,0.39725,3.9645,6.65625,3.34375,,0.0,
5,ppo-1-2,220655,running,2026-06-20T03:34:29.918099Z,2026-06-20T08:04:04.000Z,506,80680.0,11284.0,18.754687500000003,0.40781357884407043,1.32,-1.04,-11.12,15.0522,0.6875,0.59375,2.828125,1.25,0.5443749999999999,1.90515625,1.22265625,7626.0,3468.078125,0.871375,10234.25,0.23971874999999998,3.1794374999999997,3.46875,2.875,,0.0,
6,ppo-2-0,220768,running,2026-06-20T11:41:35.762601Z,2026-06-20T14:54:29.000Z,502,86799.0,6795.0,14.25125,7.314922332763672,1.64,0.49,-11.05,19.0845,0.734375,0.5625,2.546875,1.484375,0.54984375,1.91609375,1.26625,7688.84375,2903.859375,0.7853749999999999,10416.5,0.30521875,2.9768125000000003,4.6875,6.0625,,0.0,
7,ppo-3-1,220817,running,2026-06-20T16:00:38.245616Z,2026-06-20T16:53:36.000Z,515,89086.0,1929.0,19.100625,4.693504810333252,2.01,3.18,-11.29,16.6175,0.640625,0.65625,2.953125,2.140625,0.53296875,1.9379687500000002,1.3746874999999998,6410.15625,3592.5,0.84628125,10839.6875,0.36953125,4.03028125,3.71875,3.59375,-0.893375,310.53125,
8,ppo-4-2,220830,running,2026-06-20T17:51:22.905712Z,2026-06-20T18:41:03.000Z,516,82331.0,1742.0,39.71124999999999,1.090047836303711,4.99,-3.18,-11.39,39.4993,0.734375,0.78125,3.53125,1.546875,0.5525,1.9490624999999997,1.21546875,7304.625,2469.828125,0.8670625000000001,11932.8125,0.5308437500000001,5.95684375,6.9375,4.46875,-0.60071875,356.9375,
9,ppo-4-3,220833,running,2026-06-20T18:55:39.687597Z,2026-06-21T02:49:20.000Z,516,97484.0,18335.0,27.05375,4.16302490234375,4.45,-0.01,-11.31,26.6052,0.71875,0.78125,3.109375,1.5625,0.55046875,1.9421875000000002,1.2421875,7634.078125,2807.203125,0.861125,11058.125,0.5170937499999999,3.8930624999999996,7.65625,4.3125,-0.9938125,335.28125,
10,ppo-4-4,220838,running,2026-06-21T03:17:18.603062Z,2026-06-21T05:59:43.000Z,516,103135.0,6287.0,19.0321875,1.913856029510498,3.49,1.98,-11.33,13.6907,0.6875,0.640625,2.515625,1.109375,0.5448437500000001,1.66703125,1.0503125,7212.75,3395.40625,0.8335937499999999,9926.9375,0.23471875,3.24134375,5.09375,4.9375,-1.9132500000000001,291.59375,
11,ppo-4-5,220872,running,2026-06-21T06:17:41.803807Z,2026-06-21T09:21:43.000Z,520,108861.0,6935.0,21.581249999999997,2.114575147628784,2.25,4.24,-11.05,5.2962,0.671875,0.703125,2.890625,0.96875,0.52625,1.70265625,1.0114062499999998,7119.859375,3734.671875,0.7204062499999999,10990.0625,0.317875,4.3092500000000005,2.84375,4.78125,-0.9940625,237.59375,
12,ppo-4-6,220947,running,2026-06-21T09:46:40.173164Z,2026-06-21T16:32:15.000Z,520,123121.0,15654.0,8.6390625,-1.1983356475830078,1.32,0.62,-11.05,8.4009,0.6875,0.609375,2.34375,0.671875,0.5284375,1.7042187500000001,1.02875,7562.34375,3572.84375,0.71875,10049.9375,0.2005,-0.10493749999999998,2.5625,2.6875,-0.9660625,216.375,
13,ppo-5-1,221084,manual_release,2026-06-21T19:44:13.560669Z,2026-06-22T03:39:56.718606Z,520,96091.0,20485.0,7.995,3.3294219970703125,1.37,0.34,-10.23,9.9367,0.6875,0.59375,2.296875,0.921875,0.5353125000000001,1.7064062500000001,1.165625,7405.703125,3411.078125,0.6292187499999999,9135.875,0.37809375,-0.35934374999999996,4.09375,6.59375,0.0,0.0,
